n	s	r	c	well	well_waste	series	conc_fluorophore	conc_dna	vol	amt_fluorophore	amt_dna	needle_wash	sheath	x	y	z	intensity	plate_reader	qpcr
22	13	1	10	B11	A11	+n-s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	0	92.493	21.749	-0.85			
23	12	1	11	B12	A12	+n-s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	0	101.493	21.749	-0.85			
24	24	2	0	C01	A01	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	2.493	30.749	-0.85			
25	25	2	1	C02	A02	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	11.493	30.749	-0.85			
26	26	2	2	C03	A03	+n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	20.493	30.749	-0.85			
27	27	2	3	C04	A04	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	29.493	30.749	-0.85			
28	28	2	4	C05	A05	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	38.493	30.749	-0.85			
29	29	2	5	C06	A06	+n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	47.493	30.749	-0.85			
30	30	2	6	C07	A07	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	56.493	30.749	-0.85			
31	31	2	7	C08	A08	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	65.493	30.749	-0.85			
32	32	2	8	C09	A09	+n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	74.493	30.749	-0.85			
33	33	2	9	C10	A10	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	83.493	30.749	-0.85			
34	34	2	10	C11	A11	+n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	92.493	30.749	-0.85			
35	35	2	11	C12	A12	+n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	101.493	30.749	-0.85			
36	47	3	0	D01	A01	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	2.493	39.749	-0.85			
37	46	3	1	D02	A02	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	11.493	39.749	-0.85			
38	45	3	2	D03	A03	-n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	0	1	20.493	39.749	-0.85			
39	44	3	3	D04	A04	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	29.493	39.749	-0.85			
40	43	3	4	D05	A05	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	38.493	39.749	-0.85			
41	42	3	5	D06	A06	-n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	0	1	47.493	39.749	-0.85			
42	41	3	6	D07	A07	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	56.493	39.749	-0.85			
43	40	3	7	D08	A08	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	65.493	39.749	-0.85			
44	39	3	8	D09	A09	-n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	0	1	74.493	39.749	-0.85			
45	38	3	9	D10	A10	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	83.493	39.749	-0.85			
46	37	3	10	D11	A11	-n+s	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	0	1	92.493	39.749	-0.85			
47	36	3	11	D12	A12	-n+s	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	0	1	101.493	39.749	-0.85			
48	48	4	0	E01	A01	std-int	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	2.493	48.749	-0.85			
49	49	4	1	E02	A02	std-int	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00	1	1	11.493	48.749	-0.85			
50	50	4	2	E03	A03	std-int	1.28E-11	5.12E-19	8.00E-06	6.55E-30	2.62E-37	1	1	20.493	48.749	-0.85			
51	51	4	3	E04	A04	std-int	6.40E-11	2.56E-18	8.00E-06	1.64E-28	6.55E-36	1	1	29.493	48.749	-0.85			
52	52	4	4	E05	A05	std-int	3.20E-10	1.28E-17	8.00E-06	4.10E-27	1.64E-34	1	1	38.493	48.749	-0.85			
53	53	4	5	E06	A06	std-int	1.60E-09	6.40E-17	8.00E-06	1.02E-25	4.10E-33	1	1	47.493	48.749	-0.85			
54	54	4	6	E07	A07	std-int	8.00E-09	3.20E-16	8.00E-06	2.56E-24	1.02E-31	1	1	56.493	48.749	-0.85			
55	55	4	7	E08	A08	std-int	4.00E-08	1.60E-15	8.00E-06	6.40E-23	2.56E-30	1	1	65.493	48.749	-0.85			
56	56	4	8	E09	A09	std-int	2.00E-07	8.00E-15	8.00E-06	1.60E-21	6.40E-29	1	1	74.493	48.749	-0.85			
57	57	4	9	E10	A10	std-int	1.00E-06	4.00E-14	8.00E-06	4.00E-20	1.60E-27	1	1	83.493	48.749	-0.85			
58	58	4	10	E11	A11	std-int	5.00E-06	2.00E-13	8.00E-06	1.00E-18	4.00E-26	1	1	92.493	48.749	-0.85			
59	59	4	11	E12	A12	std-int	2.50E-05	1.00E-12	8.00E-06	2.50E-17	1.00E-24	1	1	101.493	48.749	-0.85			
60	71	5	0	F01		std-ext	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00			2.493	57.749	-0.85			
61	70	5	1	F02		std-ext	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00			11.493	57.749	-0.85			
62	69	5	2	F03		std-ext	1.28E-11	5.12E-19	8.00E-06	6.55E-30	4.10E-24			20.493	57.749	-0.85			
63	68	5	3	F04		std-ext	6.40E-11	2.56E-18	8.00E-06	1.64E-28	2.05E-23			29.493	57.749	-0.85			
64	67	5	4	F05		std-ext	3.20E-10	1.28E-17	8.00E-06	4.10E-27	1.02E-22			38.493	57.749	-0.85			
65	66	5	5	F06		std-ext	1.60E-09	6.40E-17	8.00E-06	1.02E-25	5.12E-22			47.493	57.749	-0.85			
66	65	5	6	F07		std-ext	8.00E-09	3.20E-16	8.00E-06	2.56E-24	2.56E-21			56.493	57.749	-0.85			
67	64	5	7	F08		std-ext	4.00E-08	1.60E-15	8.00E-06	6.40E-23	1.28E-20			65.493	57.749	-0.85			
68	63	5	8	F09		std-ext	2.00E-07	8.00E-15	8.00E-06	1.60E-21	6.40E-20			74.493	57.749	-0.85			
69	62	5	9	F10		std-ext	1.00E-06	4.00E-14	8.00E-06	4.00E-20	3.20E-19			83.493	57.749	-0.85			
70	61	5	10	F11		std-ext	5.00E-06	2.00E-13	8.00E-06	1.00E-18	1.60E-18			92.493	57.749	-0.85			
71	60	5	11	F12		std-ext	2.50E-05	1.00E-12	8.00E-06	2.50E-17	8.00E-18			101.493	57.749	-0.85			
72	72	6	0	G01		std-mea	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00			2.493	66.749	-0.85			
73	73	6	1	G02		std-mea	0.00E+00	0.00E+00	8.00E-06	0.00E+00	0.00E+00			11.493	66.749	-0.85			
74	74	6	2	G03		std-mea	1.28E-11	5.12E-19	8.00E-06	6.55E-30	4.10E-24			20.493	66.749	-0.85			
75	75	6	3	G04		std-mea	6.40E-11	2.56E-18	8.00E-06	1.64E-28	2.05E-23			29.493	66.749	-0.85			
76	76	6	4	G05		std-mea	3.20E-10	1.28E-17	8.00E-06	4.10E-27	1.02E-22			38.493	66.749	-0.85			
77	77	6	5	G06		std-mea	1.60E-09	6.40E-17	8.00E-06	1.02E-25	5.12E-22			47.493	66.749	-0.85			
78	78	6	6	G07		std-mea	8.00E-09	3.20E-16	8.00E-06	2.56E-24	2.56E-21			56.493	66.749	-0.85			
79	79	6	7	G08		std-mea	4.00E-08	1.60E-15	8.00E-06	6.40E-23	1.28E-20			65.493	66.749	-0.85			
80	80	6	8	G09		std-mea	2.00E-07	8.00E-15	8.00E-06	1.60E-21	6.40E-20			74.493	66.749	-0.85			
81	81	6	9	G10		std-mea	1.00E-06	4.00E-14	8.00E-06	4.00E-20	3.20E-19			83.493	66.749	-0.85			
82	82	6	10	G11		std-mea	5.00E-06	2.00E-13	8.00E-06	1.00E-18	1.60E-18			92.493	66.749	-0.85			
83	83	6	11	G12		std-mea	2.50E-05	1.00E-12	8.00E-06	2.50E-17	8.00E-18			101.493	66.749	-0.85			
84	95	7	0	H01		std-pcr	0.00E+00	1.00E-14	4.00E-06	0.00E+00	4.00E-20			2.493	75.749	-0.85	-	-	-
85	94	7	1	H02		std-pcr	0.00E+00	1.00E-13	4.00E-06	0.00E+00	4.00E-19			11.493	75.749	-0.85	-	-	-
86	93	7	2	H03		std-pcr	0.00E+00	1.00E-12	4.00E-06	0.00E+00	4.00E-18			20.493	75.749	-0.85	-	-	-
87	92	7	3	H04		std-pcr	0.00E+00	1.00E-11	4.00E-06	0.00E+00	4.00E-17			29.493	75.749	-0.85	-	-	-
88	91	7	4	H05		std-pcr	0.00E+00	1.00E-14	4.00E-06	0.00E+00	4.00E-20			38.493	75.749	-0.85	-	-	-
89	90	7	5	H06		std-pcr	0.00E+00	1.00E-13	4.00E-06	0.00E+00	4.00E-19			47.493	75.749	-0.85	-	-	-
90	89	7	6	H07		std-pcr	0.00E+00	1.00E-12	4.00E-06	0.00E+00	4.00E-18			56.493	75.749	-0.85	-	-	-
91	88	7	7	H08		std-pcr	0.00E+00	1.00E-11	4.00E-06	0.00E+00	4.00E-17			65.493	75.749	-0.85	-	-	-
92	87	7	8	H09		std-pcr	0.00E+00	1.00E-14	4.00E-06	0.00E+00	4.00E-20			74.493	75.749	-0.85	-	-	-
93	86	7	9	H10		std-pcr	0.00E+00	1.00E-13	4.00E-06	0.00E+00	4.00E-19			83.493	75.749	-0.85	-	-	-
94	85	7	10	H11		std-pcr	0.00E+00	1.00E-12	4.00E-06	0.00E+00	4.00E-18			92.493	75.749	-0.85	-	-	-
95	84	7	11	H12		std-pcr	0.00E+00	1.00E-11	4.00E-06	0.00E+00	4.00E-17			101.493	75.749	-0.85	-	-	-
